"OID_","POINT_X","POINT_Y"
,100.492383,36.920115
,100.046389,37.452036
,100.074994,36.672258
,99.969003,36.322373
,100.585860,37.439446
,99.809193,37.010818
,99.946220,36.597326
,99.364327,37.145677
,99.946093,37.571113
,100.164278,36.508881
,99.359609,36.534035
,99.892246,36.550902
,99.694429,36.769016
,99.842107,37.433371
,98.803759,37.096561
,99.035312,36.533214
,99.260746,36.746268
,100.154917,37.270281
,99.144793,36.631520
,99.880840,37.275341
,99.862564,36.955980
,99.559786,37.349789
,99.851448,36.751444
,99.331206,37.192557
,99.775149,36.653421
,99.805688,37.194143
,98.878797,36.701323
,99.765107,37.572050
,99.380017,37.488421
,100.576620,37.249169
,99.569496,36.416610
,99.573472,36.540472
,100.646612,37.077143
,99.740739,37.273865
,100.553624,36.928477
,99.614613,37.165886
,100.384847,37.122936
,99.001075,37.476788
,99.555849,36.465731
,99.193053,36.596766
,99.102290,36.546825
,99.080018,36.662522
,99.871714,37.223246
,99.147782,36.530696
,100.231818,37.442052
,99.257170,37.215509
,99.499982,36.519752
,100.181434,36.384436
,99.280197,37.284383
,99.334181,37.328832
,99.336644,37.241060
,100.769828,37.013530
,99.249913,36.779415
,99.105580,37.424778
,98.960941,37.206125
,99.381024,37.328847
,99.069694,37.314192
,100.262628,37.272715
,99.980362,37.484550
,99.105833,36.698059
,99.332123,37.188459
,99.732530,37.226299
,98.885106,37.388314
,99.132673,37.465618
,99.146081,37.272732
,100.017729,37.390441
,99.748154,36.391631
,99.575340,37.191738
,98.881703,36.617827
,99.543532,37.155459
,100.371494,37.480057
,99.087901,36.740310
,99.404917,37.150866
,100.587952,37.337350
,100.258877,37.320785
,99.734098,37.509168
,100.217461,36.525495
,99.603498,37.343986
,100.555008,37.140053
,99.562554,37.431886
,99.545686,37.258641
,99.383969,36.657176
,99.690900,37.179177
,100.117794,36.652427
,100.507003,37.089323
,99.393951,37.005132
,100.422154,36.495929
,99.809542,37.287591
,99.399051,36.615098
,99.423163,37.152714
,99.002238,36.709083
,98.934070,37.112420
,100.549803,37.090588
,99.185694,36.754649
,99.999728,37.280825
,98.958242,36.688987
,99.937815,36.645486
,99.219685,37.390964
,98.836199,37.157905
,99.227533,36.605176
,99.441621,37.155081
,99.919284,36.437351
,100.637462,36.776805
,99.321400,36.897115
,100.682871,36.979159
,100.580093,37.455627
,99.145748,36.796572
,99.477033,37.025815
,99.401190,37.397398
,99.497789,37.535391
,99.175267,37.197582
,99.469931,36.789752
,99.699088,36.614869
,99.744746,37.330516
,100.616949,37.230219
,100.076055,36.638179
,98.914656,36.552393
,98.816455,37.276052
,100.083880,36.585555
,99.155712,37.158420
,99.420579,37.022533
,100.534180,37.051916
,98.854748,37.119967
,99.008832,36.666990
,99.196986,37.289908
,100.640272,36.808591
,100.229611,36.365464
,98.808699,37.058845
,99.266829,36.584465
,100.693158,37.352663
,100.640588,37.316734
,99.857362,36.385794
,98.909580,36.908703
,100.693890,37.324976
,100.215225,36.588539
,99.088583,36.988920
,100.187382,37.206243
,99.924551,36.501533
,99.687568,36.491012
,99.575966,37.274737
,100.204244,37.264400
,99.193918,37.274560
,98.969778,37.457073
,98.926239,37.355631
,100.586984,37.347583
,99.143244,36.573603
,99.350235,36.843478
,100.317460,36.671737
,99.106342,37.001642
,99.042839,36.664766
,99.809505,36.430443
,99.386679,37.419009
,99.378759,37.031801
,100.398884,36.598753
,99.042261,36.911709
,99.321512,36.755796
,99.099239,36.745189
,98.924763,36.736376
,99.199194,36.483919
,100.635821,37.282997
,100.033558,37.210557
,99.870841,37.475540
,99.913636,36.470417
,100.089287,36.480419
,100.425144,37.214265
,99.174309,37.468579
,99.598147,37.381011
,99.477156,37.078881
,100.561958,37.223483
,99.915366,36.483073
,100.428854,37.052474
,100.803755,37.235871
,99.395777,36.948138
,99.362236,37.448605
,98.915413,36.827098
,99.773528,37.197549
,98.961118,36.964559
,100.342638,36.442921
,99.429565,37.062797
,98.884751,36.749488
,100.791191,37.288060
,100.527010,36.842340
,100.493959,37.445236
,100.635034,37.245539
,100.214651,37.466046
,99.791501,37.524982
,99.613518,36.782849
,99.525937,37.146573
,99.082971,37.053637
,99.800227,36.377980
,99.047299,37.145605
,99.261925,36.914800
,99.459982,37.363064
,99.006472,36.539487
,100.259566,36.513105
,99.527172,37.453349
,99.868359,36.668619
,99.872233,37.440760
,99.236793,37.514705
,99.202160,37.317071
,99.517605,36.600516
,100.709393,37.062174
,100.450038,36.661913
,100.298891,37.473922
,99.715894,36.675274
,100.408909,36.507648
,99.435120,37.201812
,99.190188,36.885734
,99.850287,37.421456
,99.626550,37.445760
,99.171610,37.488258
,99.464310,36.917455
,99.515125,37.269074
,100.577254,36.849855
,98.897933,37.066420
,100.316203,37.409725
,99.102652,36.737431
,100.458855,37.064075
,100.099577,36.469962
,99.368797,37.495009
,99.088886,37.060429
,99.951325,37.500577
,100.498744,36.571213
,99.001381,37.227502
,99.977006,37.564752
,99.362933,37.508618
,99.024118,37.424411
,99.482120,36.605527
,99.784412,36.548992
,99.559230,37.511191
,98.933537,36.796610
,99.187216,36.858804
,99.534672,36.930431
,100.748087,37.017818
,99.945655,36.357213
,99.354867,36.911975
,98.903093,36.589540
,99.863795,37.043743
,99.641554,37.010287
,99.554643,37.322112
,100.311812,37.140729
,99.066979,36.964646
,100.534390,37.383336
,100.752681,37.113838
,99.868806,37.181169
,100.081841,36.478960
,99.773734,36.625992
,99.690264,37.462925
,98.892305,37.397687
,99.596105,36.630623
,99.790991,36.511529
,99.467340,37.225997
,100.532181,37.013166
,99.793691,37.234918
,100.064582,36.387166
,99.838832,36.431734
,100.486216,36.858172
,100.710365,37.262023
,98.936829,37.056398
,99.126970,36.933672
,99.125660,36.953225
,98.969553,36.548942
,100.575454,36.873038
,100.153267,36.350807
,99.649431,37.079428
